id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,price_log,host_type,occupancy_level,reviews_per_month_bucket,distance_center_km,review_month,review_season,min_nights_category
40460660,Comodo e indipendente bilocale centro città,215185922,Sandra,Porto - Saragozza,44.50178,11.33538,Entire home/apt,120.0,1,17,2024-08-15,0.24,19,134,0,IT037006B47P73VOOY,4.795790545596741,professional,medium,low,0.9580667460982303,8.0,summer,
40524705,Architect's Pad in Bologna,313753496,Anna,Santo Stefano,44.49328,11.34944,Entire home/apt,162.0,4,33,2025-05-14,0.68,1,330,4,IT037006C2NPIEZ4NI,5.093750200806762,single-listing,high,medium,0.5713857683120287,5.0,spring,very short
40574965,Modern Aparthotel near Bologna Centrale - room 5,1749295,Kristina,Santo Stefano,44.50314,11.34897,Private room,228.0,1,4,2025-05-03,0.06,6,361,1,IT037006B44JJV6JSN,5.43372200355424,professional,high,low,1.0471014794688633,5.0,spring,
40627568,Realkasa Fair Flat,228384114,Realkasa,San Donato - San Vitale,44.5045,11.35702,Entire home/apt,159.0,3,45,2025-05-19,0.97,95,78,3,IT037006C2JMNJANAO,5.075173815233827,professional,low,medium,1.5663235138495362,5.0,spring,very short
40669986,Charming Loft with a view on the Seven Churches,159823271,Lorenzo,Santo Stefano,44.4924646,11.3487378,Entire home/apt,161.0,2,264,2025-09-16,3.79,1,214,50,IT037006C2Q2ZTGP2I,5.087596335232384,single-listing,medium,high,0.5563691507408239,9.0,fall,
40741323,Camera Orange,136592569,Yodit,Santo Stefano,44.4899,11.35287,Private room,96.0,31,0,,0.0,4,179,0,,4.574710978503383,professional,medium,low,0.9860554683244612,,,short
40741579,Camera Rosso,136592569,Yodit,Santo Stefano,44.48915,11.35329,Private room,180.0,31,0,,0.0,4,110,0,,5.198497031265826,professional,low,low,1.0617152805064487,,,short
40741802,Camera Blue,136592569,Yodit,Santo Stefano,44.488,11.35203,Private room,86.0,31,4,2022-10-14,0.1,4,264,0,,4.465908118654584,professional,high,low,1.0706917187878473,10.0,fall,short
40754060,Vicolo Ghirlanda suite city center(2),310114146,Giuseppe,Porto - Saragozza,44.49481,11.34241,Entire home/apt,190.0,3,126,2025-09-20,1.79,1,259,27,IT037006C2YLVUZVGP,5.25227342804663,single-listing,high,high,0.01848417303957271,9.0,fall,very short
40791257,Casa Carlotti,317025530,Maddalena,Navile,44.511,11.34702,Entire home/apt,96.0,31,39,2024-01-05,0.56,1,348,0,,4.574710978503383,single-listing,high,medium,1.8244415345419012,1.0,winter,short
40804629,Eleganza e Comfort nel Centro Storico di Bologna,128104071,Liliana & Michele,Porto - Saragozza,44.49153137207031,11.336377143859863,Entire home/apt,179.0,2,76,2025-09-05,1.1,1,200,18,IT037006C2XB5868K3,5.19295685089021,single-listing,medium,medium,0.6207153274550531,9.0,fall,
40911241,"Elite apartment Bologna, 5 minuti dalla Fiera",318714362,Lorena,Navile,44.51175,11.35724,Entire home/apt,133.0,3,14,2025-08-23,0.2,1,6,7,IT037006B4LQNSN2N3,4.897839799950911,single-listing,low,low,2.2054089740009597,8.0,summer,very short
40955452,"Serenity, Bologna By Short Holidays",12182373,Luca,Santo Stefano,44.50307,11.34845,Entire home/apt,215.0,1,70,2025-07-21,1.02,56,289,3,IT037006C2UG3TXWQO,5.375278407684165,professional,high,medium,1.0208465358069845,7.0,summer,
41043398,"""Il Grande Gelso"" Pratello Apartment",132464778,Welcome To Emilia Romagna & Marche!,Porto - Saragozza,44.49546,11.33231,Entire home/apt,102.0,1,92,2025-09-21,1.55,58,229,41,IT037006B4YR8XSBCV,4.634728988229636,professional,medium,medium,0.822168559749165,9.0,fall,
41049457,Spazioso appartamento comodo per stazione e Fiera,57642641,Giulia,Navile,44.51153565641933,11.350278742611408,Entire home/apt,104.0,2,17,2025-04-03,0.46,1,31,5,IT037006C2UCKL93BH,4.653960350157523,single-listing,low,medium,1.9478110924893675,4.0,spring,
41098808,Casetta de’ Poeti - Arched Ceiling Loft in Bologna,26405616,Irene,Santo Stefano,44.49753,11.35091,Entire home/apt,195.0,2,297,2025-09-17,4.26,1,22,58,IT037006C2J2P7KTV6,5.278114659230517,single-listing,low,high,0.7220868762919965,9.0,fall,
41104393,Delizioso bilocale in pieno centro storico,321527222,Daniela,Santo Stefano,44.50003,11.35111,Entire home/apt,64.0,31,1,2020-01-11,0.01,1,0,0,,4.174387269895637,single-listing,low,low,0.8848643768106554,1.0,winter,short
41146049,Da Lea BNB,322198558,Lea,Borgo Panigale - Reno,44.50071,11.27827,Private room,115.0,1,156,2025-09-17,2.26,1,229,35,IT037006C1404JTGX3,4.7535901911063645,single-listing,medium,high,5.158346345028885,9.0,fall,
41360275,"San Felice Rooftop, a due passi da Piazza Maggiore",325160732,Marcello,Porto - Saragozza,44.49711,11.33006,Entire home/apt,170.0,3,134,2025-08-30,1.94,1,240,27,IT037006C2VJRQS5TD,5.14166355650266,single-listing,medium,high,1.0287398477158505,8.0,summer,very short
41368329,"Ostello Umile - ""Jungle"" Private Bedroom",4724466,Alfio,Santo Stefano,44.5009,11.3495,Private room,52.0,1,121,2025-08-30,1.75,9,159,19,IT037006B4VSSJA9ZT,3.970291913552122,professional,medium,high,0.8638386771640183,8.0,summer,
41368936,"Ostello Umile - ""The Office"" Private Bedroom",4724466,Alfio,Santo Stefano,44.49957,11.34912,Private room,52.0,1,78,2025-09-06,1.13,9,160,37,IT037006B4VSSJA9ZT,3.970291913552122,professional,medium,medium,0.7337459750190106,9.0,fall,
41400026,"Studio, garden, parking close to airport / center",325615439,Diego,Porto - Saragozza,44.50025,11.32187,Private room,104.0,1,242,2025-10-05,3.47,1,42,56,IT037006C1646ZZF3W,4.653960350157523,single-listing,low,high,1.7543135785029367,10.0,fall,
41402147,Dame 4,286864879,Giuseppe,Santo Stefano,44.48953,11.34823,Entire home/apt,233.0,2,8,2023-05-31,0.16,1,254,0,IT037006C13GXU5PX5,5.455321115357702,single-listing,high,low,0.7441468756844948,5.0,spring,
41403704,Casa Bonita Bolognina: cozy and sunny house,8981194,Ilenia,Navile,44.5120981,11.3472205,Entire home/apt,143.0,2,37,2025-10-03,1.19,2,49,11,IT037006C2L3EBLZWJ,4.969813299576001,single-listing,low,medium,1.9472711714267565,10.0,fall,
41433175,Bologna Central Apartments - Righi 19,200592620,Edoardo,Santo Stefano,44.4982,11.34506,Entire home/apt,90.0,1,104,2025-08-18,1.53,3,131,15,IT037006B45SHVKSEL,4.51085950651685,professional,medium,medium,0.41631293765172633,8.0,summer,
41464985,n.2 Family-friendly apartment with free parking,105466009,Caterina,Santo Stefano,44.49855,11.35034,Entire home/apt,150.0,2,277,2025-09-14,4.07,4,287,54,IT037006C2BHBJOMYA,5.017279836814924,professional,high,high,0.7369337366985512,9.0,fall,
41499355,Morgana sotto le torri - CENTRO STORICO,182236682,Annalisa,Santo Stefano,44.49549,11.34732,Entire home/apt,322.0,1,4,2025-04-04,0.06,4,76,2,IT037006B43ZLK7M4L,5.777652323222656,professional,low,low,0.3800907586625501,4.0,spring,
41542567,Luxury Apartment with Terrace - Two Towers View,327258630,Design Club Collection,Porto - Saragozza,44.49841,11.33898,Entire home/apt,227.0,1,55,2025-04-05,0.86,36,216,3,IT037006B4M2QAOBSM,5.429345628954441,professional,medium,medium,0.4867105916535272,4.0,spring,
41548820,Camera con bagno privato - Bologna centro,28095362,Leonardo,Santo Stefano,44.50189,11.3527,Private room,53.0,2,107,2025-09-06,3.35,2,316,48,IT037006C1N6V3MQSO,3.9889840465642745,single-listing,high,high,1.1174866492953084,9.0,fall,
41551146,Luxury Attic - by Design Club Collection,327258630,Design Club Collection,Porto - Saragozza,44.49846,11.34037,Entire home/apt,189.0,1,170,2025-06-07,2.49,36,213,9,IT037006B4M2QAOBSM,5.247024072160486,professional,medium,high,0.43537303051497195,6.0,summer,
41551947,Camera con bagno privato - Bologna centro,28095362,Leonardo,Santo Stefano,44.50062,11.35381,Private room,55.0,2,144,2025-09-14,4.36,2,324,41,IT037006C1N6V3MQSO,4.02535169073515,single-listing,high,high,1.0947425109500635,9.0,fall,
41573749,Luxury Floor Jacuzzi Attic - By Design Club,327258630,Design Club Collection,Porto - Saragozza,44.49834,11.34014,Entire home/apt,260.0,1,176,2025-08-30,2.59,36,142,13,IT037006B4M2QAOBSM,5.564520407322694,professional,medium,high,0.4312874811839694,8.0,summer,
41579859,Luxury Floor Jacuzzi Apartment - By Design Club,327258630,Design Club Collection,Porto - Saragozza,44.4984,11.34054,Entire home/apt,225.0,1,126,2025-07-25,1.85,36,232,13,IT037006B4M2QAOBSM,5.420534999272286,professional,medium,high,0.42385382697734064,7.0,summer,
41582282,Business Studio - by Design Club Collection,327258630,Design Club Collection,Porto - Saragozza,44.49728,11.33855,Entire home/apt,193.0,1,121,2025-07-09,1.79,36,199,16,IT037006B4M2QAOBSM,5.267858159063328,professional,medium,high,0.4186776991781648,7.0,summer,
41582839,Business Apartment - by Design Club Collection,327258630,Design Club Collection,Porto - Saragozza,44.49691,11.33882,Entire home/apt,190.0,1,214,2025-09-04,3.15,36,237,17,IT037006B4M2QAOBSM,5.25227342804663,professional,medium,high,0.3764143776713968,9.0,fall,
41583193,Eco Chic Studio - by Design Club Collection,327258630,Design Club Collection,Porto - Saragozza,44.49912,11.33878,Entire home/apt,245.0,1,148,2025-07-14,2.31,36,229,15,IT037006B4M2QAOBSM,5.5053315359323625,professional,medium,high,0.5606577692396021,7.0,summer,
41583599,Eco Chic 3 Room Apartment - by Design Club,327258630,Design Club Collection,Porto - Saragozza,44.49772,11.33875,Entire home/apt,351.0,1,94,2025-01-14,1.38,36,201,2,IT037006B4ZDOH84P5,5.863631175598097,professional,medium,medium,0.4400553871086761,1.0,winter,
41583896,Elegance Apartment with Terrace - by Design Club,327258630,Design Club Collection,Porto - Saragozza,44.4989,11.34013,Entire home/apt,238.0,1,57,2025-06-06,0.89,36,210,4,IT037006B4M2QAOBSM,5.476463551931511,professional,medium,medium,0.48780044103095566,6.0,summer,
41584191,Suite Deluxe - D'Azeglio & Galluzzi Suites,51997280,Andrea,Santo Stefano,44.491943359375,11.341985702514648,Entire home/apt,332.0,1,1,2020-01-26,0.01,3,171,0,IT037006B47ARQZVAO,5.808142489980444,professional,medium,low,0.3309223508076776,1.0,winter,
41584391,Elegance Apartment - by Design Club Collection,327258630,Design Club Collection,Porto - Saragozza,44.49734,11.34082,Entire home/apt,261.0,1,47,2025-08-28,0.69,36,217,4,IT037006B4M2QAOBSM,5.568344503761097,professional,medium,medium,0.3077427086026951,8.0,summer,
41584640,Elegance Apartment with Balcony - by Design Club,327258630,Design Club Collection,Porto - Saragozza,44.49873,11.34068,Entire home/apt,195.0,1,57,2025-09-04,0.84,36,217,16,IT037006B4M2QAOBSM,5.278114659230517,professional,medium,medium,0.45395337760275933,9.0,fall,
41584994,Elegance Studio - by Design Club Collection,327258630,Design Club Collection,Porto - Saragozza,44.49783,11.3408,Entire home/apt,166.0,1,78,2024-10-22,1.22,36,166,2,IT037006B4M2QAOBSM,5.117993812416755,professional,medium,medium,0.35750693918692206,10.0,fall,
41601376,"SWING HOUSE -free parking, historic centre, NO ZTL",202278701,Cristina,Porto - Saragozza,44.5,11.33522,Entire home/apt,189.0,1,204,2025-09-16,3.22,1,100,37,IT037006C2APLYEQZJ,5.247024072160486,single-listing,low,high,0.8178162864610263,9.0,fall,
41605131,Cozy Studio Apartment Broccaindosso,255826404,Francesca,Santo Stefano,44.49279,11.35475,Entire home/apt,153.0,2,222,2025-09-03,3.23,2,133,38,IT037006C24HIXRVEI,5.0369526024136295,single-listing,medium,high,0.9928460446051416,9.0,fall,
41630366,B&B A Casa Mia stanza 3 VERDE,4373635,B&B A Casa Mia,Porto - Saragozza,44.4953,11.33089,Private room,73.0,1,60,2025-09-14,0.87,4,302,15,IT037006C1CYUT8PJ5,4.30406509320417,professional,high,medium,0.9337703229807647,9.0,fall,
41634270,B&B da Fernanda e Naime. Sentiti a casa a Bologna,314417328,Fernanda,Porto - Saragozza,44.50254,11.33988,Private room,99.0,1,271,2025-09-13,3.93,1,67,59,IT037006C1QO4XKDQK,4.605170185988092,single-listing,low,high,0.8778137733222864,9.0,fall,
41682870,AbitaRoom 6 Wood Room,99194205,Pasquale,Navile,44.507957,11.340406,Private room,152.0,1,8,2024-11-24,0.16,8,50,1,IT037006B4ARKA9VJE,5.030437921392435,professional,low,low,1.4629607956283583,11.0,fall,
41682924,AbitaRoom 5 Brick Room,99194205,Pasquale,Navile,44.507957,11.340406,Private room,135.0,1,4,2023-07-22,0.1,8,42,0,IT037006B4ARKA9VJE,4.912654885736052,professional,low,low,1.4629607956283583,7.0,summer,
41683956,AbitaRoom 7 Sage Room,99194205,Pasquale,Navile,44.507957,11.340406,Private room,137.0,1,10,2025-06-09,0.21,8,53,3,IT037006B4ARKA9VJE,4.927253685157205,professional,low,low,1.4629607956283583,6.0,summer,
41721050,Luxury Apartment in Bologna Fiera with Car Garage,329449430,Francesco,San Donato - San Vitale,44.50271,11.36504,Entire home/apt,181.0,1,10,2025-10-05,0.15,2,300,6,IT037006B4LUSOUAMG,5.204006687076795,single-listing,high,low,1.9839953355740718,10.0,fall,
41738899,Casa Garbo,329624550,Anna,Porto - Saragozza,44.49767,11.33964,Entire home/apt,121.0,3,240,2025-09-21,3.95,1,80,55,IT037006C2GYWY585U,4.804021044733257,single-listing,low,high,0.38943747928487565,9.0,fall,very short
41836186,Casa Petronio Apts Bologna Center - Free Parking,330667884,Paolo,Santo Stefano,44.490196228027344,11.35222339630127,Entire home/apt,264.0,1,259,2025-09-21,3.81,3,143,62,IT037006B4NDWA2K5T,5.579729825986222,professional,medium,high,0.9250154929667438,9.0,fall,
